Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
af489ad5-02f5-434d-9724-e802498496b5,Delete Line,Delete Line,true,false,deleteBtn,All,false,#N/A,994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
b5df891a-68fb-4a09-930e-9deee20c8a4d,Add Products,Add Products,true,false,addProductsBtn,All,false,#N/A,900.0,onAddProducts,#N/A,#N/A,Add Products,Quote/Group,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Menu,#N/A,#N/A
b6ccf650-4460-4c67-9b6b-55d075617da3,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,#N/A,902.0,onUpgradeAssets,#N/A,#N/A,Upgrade Assets,Quote/Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
b72d80d3-0b23-44a4-a4ce-b6759e0b585f,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,#N/A,907.0,onDeleteLines,#N/A,#N/A,Delete Lines,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
bba417ed-c997-468e-8d39-8c87db1a6f2e,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,#N/A,954.0,onResetDiscounts,#N/A,#N/A,Reset Discounts,Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
c74681b0-561e-44a6-b517-8e3e64be5a7f,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,#N/A,909.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
cd79d936-43e1-48d6-9799-949eef09f030,Launch External,#N/A,true,false,#N/A,All,false,#N/A,900.0,#N/A,#N/A,#N/A,Launch External,Configurator,#N/A,Product Configurator,#N/A,#N/A,#N/A,Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
d05b65be-740a-4169-a85a-0d50dd438339,Apply Edit Rules,Apply Edit Rules,true,false,#N/A,All,false,#N/A,901.0,#N/A,#N/A,#N/A,Apply Rules,Configurator,#N/A,Product Configurator,#N/A,#N/A,#N/A,Button,#N/A,#N/A
d3279124-bfe8-4547-bdfb-665084ee4465,Ungroup,Ungroup,true,false,ungroupBtn,All,false,#N/A,906.0,onUngroup,#N/A,#N/A,Ungroup,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
d6e1a31f-68a6-488d-8df7-82d68b497fb2,Separator,#N/A,true,false,#N/A,All,false,#N/A,914.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
e34bba83-baa1-4dc4-8a36-c00a10d62d65,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,#N/A,991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
e86e5430-bfe6-4fac-becd-eb15adabd334,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,#N/A,903.0,onRenewSubscriptions,#N/A,#N/A,Renew Subscriptions,Quote/Group,#N/A,Quote Line Editor,b5df891a-68fb-4a09-930e-9deee20c8a4d,#N/A,#N/A,Button,#N/A,#N/A
ec2b99b4-5143-4d92-a1c7-2559c468192a,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,#N/A,912.0,onQuickSave,#N/A,#N/A,Quick Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
fe208377-3249-452e-95e3-6b4009da22fa,Cancel,Cancel,true,false,cancelBtn,All,false,#N/A,915.0,onCancel,#N/A,#N/A,Cancel,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
